id	1h_vs_ud|IB	1d_vs_ud|IB	30m_vs_ud|IB	6h_vs_ud|IB	1h_vs_ud|IB2	1d_vs_ud|IB2	30m_vs_ud|IB2	6h_vs_ud|IB2	1h_vs_ud|KR	1d_vs_ud|KR	30m_vs_ud|KR	6h_vs_ud|KR	logFC	AveExpr	t	P.Value	adj.P.Val	B
1037	2.26197546057403	0.794661961136279	1.7049301430559	0.510220397153239	2.27275289307496	0.356647923165746	1.971518321304	0.489961805418602	2.52814820272915	0.42401540375827	1.94636887459339	-0.0727754482406987	-2.04515660068233	1.26570216147691	-7.86258673262033	9.88013276524818e-06	0.00191674575645815	3.91169096787879
1996	0.295333141018062	-0.0468747187789774	-0.0334741538757815	-0.545636385781349	-0.015997482547601	-0.0832067596141162	0.323148711621995	-0.723824882330994	0.090285104509949	-0.119643952151029	0.00129722334072285	-0.681427700809316	-0.773503243967356	-0.128335154616536	-5.56474675993618	0.000196215675494134	0.019032920522931	1.05695061814957
927_2	2.61067199476788	0.921123976146993	2.48368702246078	-0.553792561589162	2.57391107315652	1.08658147196089	1.14435926232882	-0.626976309878027	1.54120090326763	-0.0705044762695922	2.7364084232703	0.459963376092422	-2.4821964888556	1.19221951297629	-4.77807630442906	0.000642492253173974	0.041547832371917	-0.105657599392229
927_3	2.59513565442814	0.668585541089034	2.51533875767795	-0.315896068980089	2.76480465046489	0.953636535579832	1.0414555301135	-0.781803658487914	1.39900960710499	-0.290144627307284	2.91597430778016	0.472825928674236	-2.46127457026393	1.16157684651145	-4.28467432167662	0.00141353771742396	0.0685565792950622	-0.882198049568721
720	0.290068140966344	0.759820186595538	-1.24043651056166	-1.0849000314181	0.787757380379195	0.133171294222213	-0.214079986793297	-0.5986751841704	0.60975788127887	-0.123232939715856	-0.0083708203453394	-0.602321900180781	-1.32449350613123	-0.107620207478606	-4.013279327777	0.00221151330693141	0.0858067163089387	-1.32316728161135
100	1.20636399145726	0.718013840208949	0.870784273129875	-0.0706821180546499	1.37183481679538	0.817749214701077	-0.223705850658323	-0.989026849630595	0.923929461582204	0.109749395008445	0.84022870764314	0.384274408722138	-1.39252094293265	0.496626107575408	-3.63201429659425	0.00420969161823107	0.12837713210283	-1.95627289330126
487	-0.338255561441882	0.606573356390276	-0.0150978240425211	0.632083294551908	NA	NA	-0.0218348602169245	0.645678406777162	NA	NA	NA	NA	0.977136412106417	0.25152446866967	4.37773321077216	0.00886307074714854	0.156312338631529	-2.03862658954016
1061	1.36373331560757	0.957076964121446	1.38422462069722	-0.347507652903103	1.17008884551816	-0.119797051561791	1.29271551877765	0.281359199858055	1.15103656120874	0.238113410332406	1.14778877269688	0.600212368526848	-1.05026493561756	0.759920406073341	-3.57614604471237	0.00463216456041138	0.12837713210283	-2.05012533412083
2631	NA	NA	NA	NA	0.0517506093934439	-0.60803380485854	NA	NA	-0.225508765528258	-0.251565575158327	-2.17054840653645	-1.39407131650343	-1.30719223843602	-0.766329543198593	-4.01673276410115	0.0122455999553497	0.184351898518301	-2.33999306101579
1038	1.45794247157403	0.520586416136279	1.8000317780559	0.199466099053239	1.69115316407496	-0.228204648734254	2.368752497304	0.377848129418602	1.19509784572915	0.21542116875827	1.36706906759339	0.726820117759301	-1.013353045049	0.974332008893573	-3.40057657490347	0.00626792146885708	0.147757185267009	-2.34639478899513
2676	-0.406171791173451	-0.257842500655858	-0.334621946672734	0.737507375887666	-0.512213975134675	-0.285736914039725	-0.449690590515109	-0.103825923011277	-0.515016962142215	-0.379701104894396	-0.640507290770853	-0.0391647235018913	0.67597315260828	-0.265582195552043	3.28823086351255	0.00761634975603138	0.147757185267009	-2.53678597941795
604	1.22365289542106	0.25891138082944	2.5167142828371	0.128665231459409	1.29033468211311	0.153942318022714	1.90215292702302	0.291513961400249	0.838536500171677	0.435345302516897	1.87078454697118	0.720139936135611	-0.737401649570194	0.969224497075123	-2.99660591226586	0.0126767627924145	0.184351898518301	-3.03215593069057
1136	NA	NA	NA	NA	-0.524930350538123	-0.0941789021418563	-0.303729129816727	0.176397551362152	NA	NA	-0.270241481520129	0.185973090749734	0.706115671594066	-0.138451536984158	3.07940968180203	0.0310548820574523	0.27982771763595	-3.23730856087593
2578	1.04703269277609	0.696390339684882	1.34631870564879	-0.154555187650488	NA	NA	1.21818645506746	0.250208499597184	NA	NA	NA	NA	-0.999206036802743	0.733930250853986	-3.05919883856942	0.031733040144283	0.27982771763595	-3.25849570419126
2306_3	-0.284733387571858	0.271875970089035	0.736931494677948	-0.0377513259800886	-0.404309460535109	-0.0762129377201675	0.445031417713501	0.904135636512086	0.0404944611049868	-0.0269749643072836	0.533438853780159	0.378691925674236	0.631208207736071	0.206718140286454	2.77914992317546	0.0185722637641477	0.24020127801631	-3.40045074749483
2138	NA	NA	NA	NA	0.632002398463648	-0.0991661184804186	-0.202838317036209	0.0495195183359919	NA	NA	-0.213636866198369	-0.260125126689511	-0.737305202640407	-0.0157074186008113	-2.86740803330118	0.0390812803954597	0.328525638426426	-3.4632163835278
2456	NA	NA	NA	NA	1.40802012531303	0.70564946539123	2.16454513289467	0.334385894411579	1.53236387806404	0.602317840244615	NA	NA	-1.13580610727696	1.12454705605319	-2.83194052567525	0.040642347021826	0.328525638426426	-3.50178170289015
