id	1h_vs_ud - 30m_vs_ud	6h_vs_ud - 30m_vs_ud	1d_vs_ud - 30m_vs_ud	6h_vs_ud - 1h_vs_ud	1d_vs_ud - 1h_vs_ud	1d_vs_ud - 6h_vs_ud
0	0.38354141846726	-0.261899195183118	-0.265422260812734	-0.645440613650378	-0.648963679279994	-0.00352306562961621
1	-0.153218033166074	-0.125850779483118	0.0241184918872656	0.0273672536829558	0.177336525053339	0.149969271370384
4_1	0.154097025701021	0.299798599145203	0.141209771328321	0.145701573444182	-0.0128872543727002	-0.158588827816882
7090_1	0.461954729901021	-1.6077438402548	-1.49414932857168	-2.06969857015582	-1.9561040584727	0.113594511683118
6	0.556216750579601	0.387577860067619	0.716859020679662	-0.168638890511981	0.160642270100062	0.329281160612043
10	0.147270462846267	0.0324985709009524	0.0383522273463286	-0.114771891945315	-0.108918235499939	0.00585365644537619
19	0.485638996229758	-0.642890701134243	-0.799092883466153	-1.128529697364	-1.28473187969591	-0.15620218233191
31	0.595217389644844	0.432063441547014	0.665479955218449	-0.16315394809783	0.070262565573605	0.233416513671435
7092	0.0673007636738323	0.0383765365162111	-0.0120615010824043	-0.0289242271576212	-0.0793622647562366	-0.0504380375986154
24	0.464450271315415	0.136449913682878	0.129690574212227	-0.328000357632537	-0.334759697103188	-0.00675933947065117
25	0.429431763782081	0.128902383549545	0.146744238512227	-0.300529380232537	-0.282687525269855	0.0178418549626822
37	0.0854123561820813	0.223024542749545	0.00358292137889335	0.137612186567463	-0.0818294348031879	-0.219441621370651
38	0.110306470448748	0.0292115619495445	0.0935541800122267	-0.0810949084992034	-0.0167522904365212	0.0643426180626822
40	0.163421767532753	-0.195962061648014	-0.314292657422895	-0.359383829180768	-0.477714424955648	-0.11833059577488
42	0.466142668625885	0.258471760471978	0.286735760882867	-0.207670908153907	-0.179406907743018	0.0282640004108896
62	1.45099484332756	0.114859988040343	0.398046733710892	-1.33613485528722	-1.05294810961667	0.283186745670549
60	0.173180485041806	-0.965546365047302	-0.50723053007319	-1.13872685008911	-0.680411015114996	0.458315834974111
68	0.169297394452569	0.0318335946453049	1.06437465642764	-0.137463799807264	0.895077261975073	1.03254106178234
69	-0.353929027547431	-0.00486002125469506	0.548892137527642	0.349069006292736	0.902821165075073	0.553752158782337
77	-0.847434488697831	-0.825756965399494	-1.01946445002007	0.0216775232983367	-0.172029961322236	-0.193707484620573
78	-0.167665798264498	0.668411599100506	-0.0399094261534003	0.836077397365004	0.127756372111097	-0.708321025253906
79	-0.814619094397831	-1.12859759306616	-0.785390524586734	-0.31397849866833	0.0292285698110974	0.343207068479427
80	-0.519293052287919	-0.486958459226023	-1.33197537567207	0.0323345930618959	-0.812682323384148	-0.845016916446044
82	-0.117488009354586	-0.504753473359356	-1.20231141813873	-0.387265464004771	-1.08482340878415	-0.697557944779378
83	0.394609766645414	0.184492676373977	0.0463054796945992	-0.210117090271437	-0.348304286950815	-0.138187196679378
100	0.0358833477100939	-0.229632327497295	-0.598691558073047	-0.265515675207389	-0.63457490578314	-0.369059230575752
101	0.507652358943427	-0.633243077730629	-0.14355182340638	-1.14089543667406	-0.651204182349807	0.489691254324249
115	-0.0480075595383463	0.0310095918407359	-0.633099385230517	0.0790171513790822	-0.58509182569217	-0.664108977071253
111	0.36872870246836	0.237229230306645	0.875259701221655	-0.131499472161715	0.506530998753295	0.63803047091501
112	0.06400838216836	-0.0839594172933553	-0.427093675311679	-0.147967799461715	-0.491102057480039	-0.343134258018323
113	-0.150644473498307	-0.220107485126689	-0.905763418878346	-0.069463011628382	-0.755118945380039	-0.685655933751657
114	1.62795757653503	-0.114835120860022	-0.000793309278345644	-1.74279269739505	-1.62875088581337	0.114041811581676
116	0.238179229701693	-0.042482031960022	-0.132852414011679	-0.280661261661715	-0.371031643713372	-0.0903703820516567
7098_1	-0.132246451845496	0.448767763442165	-0.739138860022582	0.581014215287661	-0.606892408177086	-1.18790662346475
8215_1	0.102440513621171	0.292260850808832	-0.534326788455916	0.189820337187661	-0.636767302077086	-0.826587639264747
